uuid,short_id,hypothesis,categories,paper,questions,data_folder
cd811ead-7887-4369-b175-05aff4223765,bix-11,Fungi have higher treeness values compared to animals.,"['Genomics', 'Phylogenetics and Evolutionary Analysis']",Not Available,"[{""question"": ""What is the magnitude of difference in median treeness values between fungi and animals?"", ""options"": [""0.075"", ""0.015"", ""0.05"", ""0.105""]}, {""question"": ""What percentage of fungal genes show treeness values above 0.06?"", ""options"": [""45%"", ""35%"", ""25%"", ""15%""]}, {""question"": ""What is the treeness value of the most divergent ortholog (highest treeness) in the animal dataset?"", ""options"": [""0.1126"", ""0.1562"", ""0.0884"", ""0.1345""]}, {""question"": ""What is the Mann-Whitney U statistic for the comparison of treeness values between fungi and animals?"", ""options"": [""4891.0"", ""2584.0"", ""1247.5"", ""3556.0""]}, {""question"": ""What is the p-value for the Mann-Whitney U test comparing treeness values between fungi and animals?"", ""options"": [""0.0478"", ""0.0341"", ""0.1205"", ""0.0012""]}, {""question"": ""What is the median treeness value for fungal orthologs?"", ""options"": [""0.0489"", ""0.0612"", ""0.0234"", ""0.0855""]}]",CapsuleFolder-cd811ead-7887-4369-b175-05aff4223765.zip
d38392ec-84b8-485d-ab02-b8788e6f1f43,bix-12,Fungi have a higher number and percentage of parsimony informative sites in their alignments.,"['Genomics', 'Phylogenetics and Evolutionary Analysis', 'Whole Genome Sequencing (WGS)']",Not Available,"[{""question"": ""What does the distribution of parsimony informative sites in fungal proteins suggest about their evolutionary rate compared to animal proteins?"", ""options"": [""Fungal proteins evolve more rapidly than animal proteins"", ""Fungal proteins have identical evolutionary rates to animal proteins"", ""Fungal proteins are more structurally constrained than animal proteins"", ""Fungal proteins show no consistent pattern of evolution""]}, {""question"": ""What is the median percentage of parsimony informative (variable) sites across all single-copy orthologous genes in fungi?"", ""options"": [""3.5%"", ""5.2%"", ""4.9%"", ""1.2%""]}, {""question"": ""What is the ratio of percent parsimony informative (variable) sites between the most conserved fungal gene and the most conserved animal gene in the dataset?"", ""options"": [""3.0"", ""3.0"", ""1.0"", ""0.5""]}, {""question"": ""What is the Mann-Whitney U test value when comparing the percentage of parsimony informative (variable) sites between animals and fungi?"", ""options"": [""6948.0"", ""5891.0"", ""4532.0"", ""7823.0""]}, {""question"": ""What is the maximum number of parsimony informative sites found in any single animal ortholog alignment?"", ""options"": [""29"", ""36"", ""48"", ""24""]}, {""question"": ""What is the Mann-Whitney U test statistic when comparing the number of parsimony informative sites between animal and fungal alignments?"", ""options"": [""4521.0"", ""8932.0"", ""3245.0"", ""6748.0""]}]",CapsuleFolder-d38392ec-84b8-485d-ab02-b8788e6f1f43.zip
1d54e4a7-8b0f-4224-bd31-efcfded0d46c,bix-13,Knocking out either rhlI or lasI impacts the downstream expression of dozens of genes which may be involved in mediating the observed division of labor.,"['RNA-seq', 'Differential Expression Analysis', 'Transcriptomics']",https://doi.org/10.17912/micropub.biology.001326,"[{""question"": ""What percentage of genes differentially expressed in strain JBX97 are exclusively also differentially expressed in strain JBX99, relative to strain JBX1 (logfold cutoff either > 1.5 or < -1.5)?"", ""options"": [""31.8%"", ""0.9%"", ""29.8%"", ""10.6%""]}, {""question"": ""How many genes are uniquely differentially expressed in strain 98 but not in either of strains JBX97 or JBX99, relative to strain JBX1 (logfold cutoff either > 1.5 or < -1.5)?"", ""options"": [""137"", ""464"", ""190"", ""166""]}, {""question"": ""How many genes have a dispersion value below 1e-05 when using DEseq for analysis?"", ""options"": [""7"", ""6"", ""9"", ""8""]}, {""question"": ""Which strain and media condition do replicates not fully cluster together based on pairwise correlation after regularized log transformation of the differential expression analysis results?"", ""options"": [""Strain 1 in MMGluFeMinus"", ""Strain 99 in Succinate"", ""Strain 99 in MMGluFePlus"", ""Strain 1 in MMGluFePlus""]}, {""question"": ""Of all differentially expressed genes (FDR<0.05, logfold cutoff either > 1.5 or < -1.5), what is the total percentage of genes either exclusively affected in \u2206rhlI or \u2206lasI?"", ""options"": [""8.1%"", ""4.8%"", ""15.7%"", ""12.4%""]}, {""question"": ""How many genes are differentially expressed (FDR < 0.05, logfold cutoff either > 1.5 or < -1.5) in at least one of the \u0394lasI or \u0394rhlI single mutants but are not differentially expressed in the \u0394lasI\u0394rhlI double mutant?\n"", ""options"": [""397"", ""512"", ""156"", ""89""]}]",CapsuleFolder-1d54e4a7-8b0f-4224-bd31-efcfded0d46c.zip
7718a922-ce2c-4e59-900b-84fe06050ce6,bix-14,The distribution of variant effects / types of putative somatic CHIP variants in Bloom Syndrome probands and carriers will not differ significantly from that of controls. ,"['Genomics', 'Genomic Variant Analysis']",https://doi.org/10.1172/jci.insight.167744,"[{""question"": ""What mechanism explains the similar distribution of CHIP variant effects between Bloom syndrome patients and controls?"", ""options"": [""BLM helicase preferentially repairs certain variant types"", ""CHIP variants occur independently of BLM function"", ""BLM helicase mutations alter variant effect patterns"", ""BLM helicase affects variant repair frequency but not variant type selection""]}, {""question"": ""What proportion of variants in BLM carriers with VAF < 0.3 are synonymous?"", ""options"": [""0.89"", ""0.13"", ""0.64"", ""0.33""]}, {""question"": ""What is the absolute difference in somatic (VAF < 0.3) missense variant frequency between Control Parents and BSyn Probands?"", ""options"": [""0.333"", ""0.099"", ""0.105"", ""0.228""]}, {""question"": ""How does excluding intronic variants affect the total number of CHIP variants in the dataset?"", ""options"": [""Reduces from 4,550 to 1,234 variants"", ""Reduces from 11,896 to 4,550 variants"", ""Reduces from 57,258 to 4,550 variants"", ""Reduces from 57,258 to 11,896 variants""]}]",CapsuleFolder-7718a922-ce2c-4e59-900b-84fe06050ce6.zip
bda54b38-9b49-4009-aad6-d5f52675438a,bix-16,Genes with higher expression levels are more critical for cancer cell survival and exhibit higher essentiality.,"['Transcriptomics', 'Functional Genomics']",,"[{""question"": ""What gene has the strongest negative Spearman correlation between its expression and essentiality, in the provided data?"", ""options"": [""CCND1"", ""KLF5"", ""CDKN1A"", ""RNASEK""]}, {""question"": ""What is the skewness characteristic of the gene expression (log2(TPM+1)) distribution across all cell lines in the dataset?"", ""options"": [""Right-skewed with a long tail"", ""Symmetrical with no skew"", ""Bimodal with no clear skew"", ""Left-skewed with a long tail""]}, {""question"": ""How many genes in the provided data show strong positive correlation with a Spearman coefficient >= 0.6?"", ""options"": [""5"", ""1"", ""3"", ""0""]}, {""question"": ""Overall, what percentage of genes show a statistically significant correlation between expression and essentiality?"", ""options"": [""7.56%"", ""35.62%"", ""14.25%"", ""21.81%""]}]",CapsuleFolder-bda54b38-9b49-4009-aad6-d5f52675438a.zip
1cf79c8c-fb8c-453c-8788-c8958ab6f152,bix-17,The increased number of somatic variants in CHIP (clonal haematopoiesis of indeterminate potential) genes found in Bloom syndrome probands and carriers is not an effect of increased germline variants in CHIP genes. ,"['Genomics', 'Genomic Variant Analysis']",https://doi.org/10.3324/haematol.2024.285239,"[{""question"": ""What is the correlation coefficient between total CHIP variants and somatic CHIP variants (VAF < 0.3) in the Bloom syndrome proband cohort?"", ""options"": [""0.12"", ""0.45"", ""0.78"", ""0.92""]}, {""question"": ""What is the median number of somatic CHIP variants (VAF < 0.3) in the BLM carrier cohort?"", ""options"": [""2.0"", ""1.0"", ""3.0"", ""4.0""]}, {""question"": ""What is the F-statistic from ANOVA analysis when comparing CHIP variant frequencies between cohorts after removing intronic variants?"", ""options"": [""15.321"", ""42.156"", ""0.863"", ""29.744""]}, {""question"": ""What percentage of total CHIP variants in control parents have VAF < 0.3?"", ""options"": [""5.12%"", ""3.24%"", ""1.57%"", ""0.29%""]}]",CapsuleFolder-1cf79c8c-fb8c-453c-8788-c8958ab6f152.zip
d59734d2-a3e0-462a-a5fd-c8ddc11392b8,bix-18,"Disrupting genes in either the las or rhl quorum sensing (QS) systems, either the receptors or the synthases, abrogates swarming motility, a form of movement that allows Pseudomonas aeruginosa and other bacteria to expand their access to nutrients and therefore increase their fitness.",['Imaging'],https://doi.org/10.17912/micropub.biology.001326,"[{""question"": ""In a P. aeruginosa swarming analysis, what circularity measurement would be most consistent with swarming behavior?"", ""options"": [""0.80"", ""0.32"", ""0.08"", ""1.00""]}, {""question"": ""What is the mean swarming area of wildtype P. aeruginosa?"", ""options"": [""32,000"", ""82,000"", ""92,000"", ""30,000""]}, {""question"": ""What is the approximated reduction in mean colony area for the \u0394lasR mutant compared to wildtype?"", ""options"": [""50% reduction"", ""30% reduction"", ""70% reduction"", ""60% reduction""]}, {""question"": ""What is the standard error of the mean (SEM) for circularity measurements in the rhlR- mutant?"", ""options"": [""0.052"", ""0.012"", ""0.082"", ""0.032""]}, {""question"": ""What is the relative proportion of mean colony area of the \u0394lasR mutant to the wildtype strain?"", ""options"": [""Approximately 50% (1/2) of wildtype"", ""Approximately 25% (1/4) of wildtype"", ""Approximately 75% (3/4) of wildtype"", ""Approximately equal (1/1) to wildtype""]}, {""question"": ""What is the standard error of the mean (SEM) for colony area in the rhlR- mutant strain?"", ""options"": [""0.25"", ""0.35"", ""0.45"", ""0.15""]}]",CapsuleFolder-d59734d2-a3e0-462a-a5fd-c8ddc11392b8.zip
8c64b1fa-fdcc-41e2-be8d-2f0c8d5faaa1,bix-19,Significant neuronal damage is induced by OXTR gene knockdown across rodent species,"['Imaging', 'Other']","https://zenodo.org/records/8036465, https://www.science.org/doi/10.1126/sciadv.adf4950","[{""question"": ""Based on the observed effect size in the NeuN count data, how many samples per group would be required to detect a statistically significant difference between KD and CTRL conditions with 80% power?"", ""options"": [""337 samples"", ""16 samples"", ""167 samples"", ""674 samples""]}, {""question"": ""What is the Cohen's d effect size for the difference in NeuN counts between KD and CTRL conditions in the dataset?"", ""options"": [""0.216"", ""0.668"", ""1.311"", ""0.805""]}, {""question"": ""What is the Shapiro-Wilk test statistic (W) for the KD group's NeuN count distribution?"", ""options"": [""0.723"", ""0.956"", ""0.774"", ""0.951""]}, {""question"": ""What is the F-statistic for the interaction effect between Hemisphere and Sex in the two-way ANOVA analysis?"", ""options"": [""1.066"", ""1.312"", ""3.751"", ""0.192""]}]",CapsuleFolder-8c64b1fa-fdcc-41e2-be8d-2f0c8d5faaa1.zip
2ccdbe37-0a92-47b5-9bab-fa8a8c470799,bix-20,The distribution of variant pathogenicity of putative somatic CHIP variants in Bloom Syndrome probands and carriers will not differ significantly from that of controls.,"['Genomics', 'Genomic Variant Analysis']",doi.org/10.3324/haematol.2024.285239,"[{""question"": ""What proportion of putatively somatic (VAF < 0.3, exonic) CHIP variants in BSyn Probands can be considered benign?"", ""options"": [""0.77"", ""0.65"", ""0.93"", ""0.85""]}, {""question"": ""What is the proportion of likely benign, exonic variants in the Control Children group for variants with VAF < 0.3?"", ""options"": [""0.00"", ""0.10"", ""0.05"", ""0.15""]}, {""question"": ""What is the difference in the proportion of benign exonic variants (VAF < 0.3) between BLM Carriers and BSyn Probands?"", ""options"": [""0.072"", ""0.047"", ""0.025"", ""0.017""]}, {""question"": ""What is the total number of pathogenicity categories observed in BLM Carriers after applying the VAF < 0.3 filter?"", ""options"": [""2"", ""3"", ""1"", ""4""]}, {""question"": ""What is the ratio of benign to likely benign variants in Bloom Syndrome probands for exonic variants with VAF < 0.3?"", ""options"": [""7:1"", ""13:1"", ""19:1"", ""5:1""]}, {""question"": ""What percentage of putative somatic variants (VAF < 0.3, exonic) are classified as benign in BLM carriers?"", ""options"": [""100%"", ""89.3%"", ""92.9%"", ""94.6%""]}, {""question"": ""How does filtering for putative somatic variants (VAF < 0.3, exonic) affect the number of pathogenicity categories observed in control children?"", ""options"": [""Reduces to 0 categories"", ""Increases to 3 categories"", ""Reduces to 1 category"", ""Maintains 2 categories""]}]",CapsuleFolder-2ccdbe37-0a92-47b5-9bab-fa8a8c470799.zip
e3bde22d-915c-409b-8646-039e0215b171,bix-21,Animals will have lower signatures of saturation by multiple substitutions than fungi.,"['Whole Genome Sequencing (WGS)', 'Phylogenetics and Evolutionary Analysis']",Not Available,"[{""question"": ""What rate of saturation accumulation would be expected in a clade of fungi with generation times comparable to animals?"", ""options"": [""No relationship between generation time and saturation rate"", ""Higher than typical fungi due to increased DNA replication errors"", ""Similar to typical fungi due to phylogenetic constraints"", ""Lower than typical fungi due to fewer generations per unit time""]}, {""question"": ""What is the median saturation value for BUSCO genes in the fungi?"", ""options"": [""0.58"", ""0.45"", ""0.71"", ""0.62""]}, {""question"": ""How would including an additional 6 mammalian species affect the average saturation value of the animal dataset?"", ""options"": [""Remain within 5% of the original value"", ""Double the original value"", ""Decrease by approximately 15%"", ""Increase by approximately 15%""]}, {""question"": ""If ribosomal proteins evolve at 1/3 the rate of metabolic enzymes, what would be the expected ratio of saturation values between these two protein classes in fungi?"", ""options"": [""1:9"", ""1:3"", ""1:1"", ""3:1""]}, {""question"": ""What biological feature of animals likely explains their lower saturation values compared to fungi?"", ""options"": [""Greater species diversity"", ""Larger genome sizes"", ""Higher mutation rates"", ""Longer generation times""]}]",CapsuleFolder-e3bde22d-915c-409b-8646-039e0215b171.zip
